text,label
Here are the slides from today's presentation as promised. Feel free to share with your team.,legitimate
Your order #23875 has shipped and is expected to arrive in 3-5 business days. Track it at https://github.com/company/project.,legitimate
Action required: Your email storage is full. Click http://microsoft365-reverify.support to upgrade your account for free.,phishing
Welcome to the team! Here's some information to help you get started in your first week.,legitimate
Your tax refund of $850 is ready. Submit your bank details at http://account-update-bank.net/verify to receive payment.,phishing
We appreciate your feedback and will use it to improve our service going forward.,legitimate
You have a new voicemail message. Click http://netflix-billing-update.co to listen now using your email login.,phishing
Our office will be closed on Monday for the public holiday. Normal operations resume Tuesday.,legitimate
We appreciate your feedback and will use it to improve our service going forward.,legitimate
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
"Claim your inheritance of $2,000,000 by providing your bank details at http://192.168.45.22/login.php.",phishing
Your package could not be delivered. Pay a small fee at http://tinyurl.com/freegift123 to reschedule delivery.,phishing
"Hi team, please find attached the minutes from yesterday's meeting. Let me know if I missed anything.",legitimate
We need you to confirm your billing details at http://tinyurl.com/freegift123 or your subscription will be cancelled.,phishing
"Dear employee, please review and sign this urgent document at http://account-update-bank.net/verify before end of day.",phishing
"Claim your inheritance of $2,000,000 by providing your bank details at http://bit.ly/3xJkLm9.",phishing
We need you to confirm your billing details at http://apple-id-locked-support.com or your subscription will be cancelled.,phishing
Final Notice: Your account access will be terminated. Verify now at http://netflix-billing-update.co to prevent suspension.,phishing
Looking forward to catching up this weekend! Let me know what time works for you.,legitimate
"Hi team, please find attached the minutes from yesterday's meeting. Let me know if I missed anything.",legitimate
Congratulations on completing the course! Your certificate is attached to this email.,legitimate
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
Thanks for attending the webinar today. The recording is available at https://www.dropbox.com/shared/abc123 on our official site.,legitimate
Thanks for attending the webinar today. The recording is available at https://www.dropbox.com/shared/abc123 on our official site.,legitimate
Your tax refund of $850 is ready. Submit your bank details at http://secure-paypal-verification.com/login to receive payment.,phishing
Your package could not be delivered. Pay a small fee at http://account-update-bank.net/verify to reschedule delivery.,phishing
"Your social security number has been suspended due to suspicious activity, call us or visit http://apple-id-locked-support.com.",phishing
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
Reminder: The quarterly report is due this Friday. Please submit your section by end of day Thursday.,legitimate
"Here's the agenda for tomorrow's stand-up meeting, see you all at 9am.",legitimate
Final Notice: Your account access will be terminated. Verify now at http://microsoft365-reverify.support to prevent suspension.,phishing
"Dear employee, please review and sign this urgent document at http://secure-paypal-verification.com/login before end of day.",phishing
Here are the slides from today's presentation as promised. Feel free to share with your team.,legitimate
Action required: Your email storage is full. Click http://apple-id-locked-support.com to upgrade your account for free.,phishing
"Hi, this is IT support. We need your password to fix an urgent security issue. Reply or visit http://192.168.45.22/login.php.",phishing
We detected unusual activity on your PayPal account. Verify your information at http://tinyurl.com/freegift123 to restore access.,phishing
Welcome to the team! Here's some information to help you get started in your first week.,legitimate
We need you to confirm your billing details at http://bit.ly/3xJkLm9 or your subscription will be cancelled.,phishing
"Hi, just checking in to see how the project is going. Let me know if you need any help.",legitimate
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
URGENT: Your bank account will be locked in 24 hours. Login now at http://win-prize-claim-now.info to avoid suspension.,phishing
Security Alert: Someone tried to log into your account. Confirm your identity here http://account-update-bank.net/verify now.,phishing
We detected unusual activity on your PayPal account. Verify your information at http://account-update-bank.net/verify to restore access.,phishing
"Dear customer, your account has been suspended. Click here http://apple-id-locked-support.com to verify your identity immediately.",phishing
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
Please review the attached invoice for last month's services and let me know if you have questions.,legitimate
Your subscription has been renewed successfully. No action is needed from your end.,legitimate
Thank you for your purchase. Your receipt is attached for your records.,legitimate
Thank you for your purchase. Your receipt is attached for your records.,legitimate
Reminder: The quarterly report is due this Friday. Please submit your section by end of day Thursday.,legitimate
Your package could not be delivered. Pay a small fee at http://bit.ly/3xJkLm9 to reschedule delivery.,phishing
"Dear employee, please review and sign this urgent document at http://tinyurl.com/freegift123 before end of day.",phishing
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
"Dear customer, your account has been suspended. Click here http://irs-tax-refund-claim.com to verify your identity immediately.",phishing
"Hi, this is IT support. We need your password to fix an urgent security issue. Reply or visit http://tinyurl.com/freegift123.",phishing
"Dear user, your Apple ID has been locked due to suspicious activity. Unlock it at http://account-update-bank.net/verify.",phishing
Congratulations on completing the course! Your certificate is attached to this email.,legitimate
We need you to confirm your billing details at http://account-update-bank.net/verify or your subscription will be cancelled.,phishing
Final Notice: Your account access will be terminated. Verify now at http://microsoft365-reverify.support to prevent suspension.,phishing
Security Alert: Someone tried to log into your account. Confirm your identity here http://netflix-billing-update.co now.,phishing
Congratulations on completing the course! Your certificate is attached to this email.,legitimate
Please review the attached invoice for last month's services and let me know if you have questions.,legitimate
Your flight booking is confirmed. Check-in opens 24 hours before departure.,legitimate
Your password will expire today. Update your credentials immediately at http://irs-tax-refund-claim.com to keep your account active.,phishing
You have a new voicemail message. Click http://account-update-bank.net/verify to listen now using your email login.,phishing
Thanks for attending the webinar today. The recording is available at https://company.zoom.us/recording/share on our official site.,legitimate
Action required: Your email storage is full. Click http://bit.ly/3xJkLm9 to upgrade your account for free.,phishing
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
Your Netflix payment failed. Update your payment method at http://apple-id-locked-support.com to avoid losing access.,phishing
"Dear employee, please review and sign this urgent document at http://microsoft365-reverify.support before end of day.",phishing
Reminder: The quarterly report is due this Friday. Please submit your section by end of day Thursday.,legitimate
"Claim your inheritance of $2,000,000 by providing your bank details at http://bit.ly/3xJkLm9.",phishing
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
Security Alert: Someone tried to log into your account. Confirm your identity here http://win-prize-claim-now.info now.,phishing
"Hi, this is IT support. We need your password to fix an urgent security issue. Reply or visit http://192.168.45.22/login.php.",phishing
You have a new voicemail message. Click http://irs-tax-refund-claim.com to listen now using your email login.,phishing
Action required: Your email storage is full. Click http://irs-tax-refund-claim.com to upgrade your account for free.,phishing
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
"Hi team, please find attached the minutes from yesterday's meeting. Let me know if I missed anything.",legitimate
Your subscription has been renewed successfully. No action is needed from your end.,legitimate
Your subscription has been renewed successfully. No action is needed from your end.,legitimate
"Dear user, your Apple ID has been locked due to suspicious activity. Unlock it at http://secure-paypal-verification.com/login.",phishing
We need you to confirm your billing details at http://microsoft365-reverify.support or your subscription will be cancelled.,phishing
"Limited time offer just for you! Get 90% off at http://win-prize-claim-now.info, verify your card now to claim discount.",phishing
Welcome to the team! Here's some information to help you get started in your first week.,legitimate
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
Your Netflix payment failed. Update your payment method at http://bit.ly/3xJkLm9 to avoid losing access.,phishing
"Dear employee, please review and sign this urgent document at http://win-prize-claim-now.info before end of day.",phishing
Your tax refund of $850 is ready. Submit your bank details at http://secure-paypal-verification.com/login to receive payment.,phishing
Welcome to the team! Here's some information to help you get started in your first week.,legitimate
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
Congratulations! You have won a $1000 gift card. Claim your prize now at http://192.168.45.22/login.php before it expires.,phishing
Final Notice: Your account access will be terminated. Verify now at http://bit.ly/3xJkLm9 to prevent suspension.,phishing
"Here's the agenda for tomorrow's stand-up meeting, see you all at 9am.",legitimate
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
Your flight booking is confirmed. Check-in opens 24 hours before departure.,legitimate
Reminder: The quarterly report is due this Friday. Please submit your section by end of day Thursday.,legitimate
Final Notice: Your account access will be terminated. Verify now at http://apple-id-locked-support.com to prevent suspension.,phishing
Congratulations on completing the course! Your certificate is attached to this email.,legitimate
"Dear user, your Apple ID has been locked due to suspicious activity. Unlock it at http://win-prize-claim-now.info.",phishing
Please review the attached invoice for last month's services and let me know if you have questions.,legitimate
"Your social security number has been suspended due to suspicious activity, call us or visit http://microsoft365-reverify.support.",phishing
You have a new voicemail message. Click http://bit.ly/3xJkLm9 to listen now using your email login.,phishing
Your Microsoft 365 account requires re-verification. Click http://secure-paypal-verification.com/login immediately to avoid data loss.,phishing
You have a new voicemail message. Click http://apple-id-locked-support.com to listen now using your email login.,phishing
"Claim your inheritance of $2,000,000 by providing your bank details at http://netflix-billing-update.co.",phishing
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
Your package could not be delivered. Pay a small fee at http://apple-id-locked-support.com to reschedule delivery.,phishing
"Dear customer, your account has been suspended. Click here http://microsoft365-reverify.support to verify your identity immediately.",phishing
Looking forward to catching up this weekend! Let me know what time works for you.,legitimate
Looking forward to catching up this weekend! Let me know what time works for you.,legitimate
Congratulations! You have won a $1000 gift card. Claim your prize now at http://microsoft365-reverify.support before it expires.,phishing
"Dear user, your Apple ID has been locked due to suspicious activity. Unlock it at http://microsoft365-reverify.support.",phishing
"Hi, just checking in to see how the project is going. Let me know if you need any help.",legitimate
"Dear user, your Apple ID has been locked due to suspicious activity. Unlock it at http://account-update-bank.net/verify.",phishing
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
"Hi team, please find attached the minutes from yesterday's meeting. Let me know if I missed anything.",legitimate
Your Netflix payment failed. Update your payment method at http://win-prize-claim-now.info to avoid losing access.,phishing
We need you to confirm your billing details at http://tinyurl.com/freegift123 or your subscription will be cancelled.,phishing
Your tax refund of $850 is ready. Submit your bank details at http://tinyurl.com/freegift123 to receive payment.,phishing
"Dear employee, please review and sign this urgent document at http://192.168.45.22/login.php before end of day.",phishing
"Dear user, your Apple ID has been locked due to suspicious activity. Unlock it at http://microsoft365-reverify.support.",phishing
"Hi team, please find attached the minutes from yesterday's meeting. Let me know if I missed anything.",legitimate
We need you to confirm your billing details at http://apple-id-locked-support.com or your subscription will be cancelled.,phishing
We need you to confirm your billing details at http://apple-id-locked-support.com or your subscription will be cancelled.,phishing
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
We need you to confirm your billing details at http://account-update-bank.net/verify or your subscription will be cancelled.,phishing
Your Microsoft 365 account requires re-verification. Click http://netflix-billing-update.co immediately to avoid data loss.,phishing
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
"Dear customer, your account has been suspended. Click here http://win-prize-claim-now.info to verify your identity immediately.",phishing
URGENT: Your bank account will be locked in 24 hours. Login now at http://apple-id-locked-support.com to avoid suspension.,phishing
We appreciate your feedback and will use it to improve our service going forward.,legitimate
You have a new voicemail message. Click http://netflix-billing-update.co to listen now using your email login.,phishing
Our office will be closed on Monday for the public holiday. Normal operations resume Tuesday.,legitimate
Looking forward to catching up this weekend! Let me know what time works for you.,legitimate
Your tax refund of $850 is ready. Submit your bank details at http://apple-id-locked-support.com to receive payment.,phishing
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
Your subscription has been renewed successfully. No action is needed from your end.,legitimate
Your package could not be delivered. Pay a small fee at http://secure-paypal-verification.com/login to reschedule delivery.,phishing
Your subscription has been renewed successfully. No action is needed from your end.,legitimate
Our office will be closed on Monday for the public holiday. Normal operations resume Tuesday.,legitimate
We detected unusual activity on your PayPal account. Verify your information at http://192.168.45.22/login.php to restore access.,phishing
"Dear user, your Apple ID has been locked due to suspicious activity. Unlock it at http://apple-id-locked-support.com.",phishing
"Hi team, please find attached the minutes from yesterday's meeting. Let me know if I missed anything.",legitimate
Your package could not be delivered. Pay a small fee at http://account-update-bank.net/verify to reschedule delivery.,phishing
Your package could not be delivered. Pay a small fee at http://bit.ly/3xJkLm9 to reschedule delivery.,phishing
Here are the slides from today's presentation as promised. Feel free to share with your team.,legitimate
Reminder: The quarterly report is due this Friday. Please submit your section by end of day Thursday.,legitimate
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
Your package could not be delivered. Pay a small fee at http://bit.ly/3xJkLm9 to reschedule delivery.,phishing
We appreciate your feedback and will use it to improve our service going forward.,legitimate
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
Congratulations on completing the course! Your certificate is attached to this email.,legitimate
Thanks for attending the webinar today. The recording is available at https://github.com/company/project on our official site.,legitimate
Looking forward to catching up this weekend! Let me know what time works for you.,legitimate
Please review the attached invoice for last month's services and let me know if you have questions.,legitimate
Thanks for attending the webinar today. The recording is available at https://www.linkedin.com/in/profile on our official site.,legitimate
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
We detected unusual activity on your PayPal account. Verify your information at http://tinyurl.com/freegift123 to restore access.,phishing
Your monthly statement is now available in your account dashboard.,legitimate
Your Netflix payment failed. Update your payment method at http://192.168.45.22/login.php to avoid losing access.,phishing
Final Notice: Your account access will be terminated. Verify now at http://microsoft365-reverify.support to prevent suspension.,phishing
We need you to confirm your billing details at http://secure-paypal-verification.com/login or your subscription will be cancelled.,phishing
We detected unusual activity on your PayPal account. Verify your information at http://win-prize-claim-now.info to restore access.,phishing
We detected unusual activity on your PayPal account. Verify your information at http://irs-tax-refund-claim.com to restore access.,phishing
Security Alert: Someone tried to log into your account. Confirm your identity here http://microsoft365-reverify.support now.,phishing
Action required: Your email storage is full. Click http://192.168.45.22/login.php to upgrade your account for free.,phishing
Your monthly statement is now available in your account dashboard.,legitimate
"Your social security number has been suspended due to suspicious activity, call us or visit http://secure-paypal-verification.com/login.",phishing
Our office will be closed on Monday for the public holiday. Normal operations resume Tuesday.,legitimate
Your Netflix payment failed. Update your payment method at http://192.168.45.22/login.php to avoid losing access.,phishing
Final Notice: Your account access will be terminated. Verify now at http://netflix-billing-update.co to prevent suspension.,phishing
Your tax refund of $850 is ready. Submit your bank details at http://192.168.45.22/login.php to receive payment.,phishing
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
Your password will expire today. Update your credentials immediately at http://microsoft365-reverify.support to keep your account active.,phishing
Your monthly statement is now available in your account dashboard.,legitimate
Congratulations on completing the course! Your certificate is attached to this email.,legitimate
Looking forward to catching up this weekend! Let me know what time works for you.,legitimate
Thank you for your purchase. Your receipt is attached for your records.,legitimate
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
Final Notice: Your account access will be terminated. Verify now at http://apple-id-locked-support.com to prevent suspension.,phishing
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
Congratulations! You have won a $1000 gift card. Claim your prize now at http://tinyurl.com/freegift123 before it expires.,phishing
Your monthly statement is now available in your account dashboard.,legitimate
Our office will be closed on Monday for the public holiday. Normal operations resume Tuesday.,legitimate
Please review the attached invoice for last month's services and let me know if you have questions.,legitimate
Welcome to the team! Here's some information to help you get started in your first week.,legitimate
"Hi, just checking in to see how the project is going. Let me know if you need any help.",legitimate
Your order #15224 has shipped and is expected to arrive in 3-5 business days. Track it at https://www.linkedin.com/in/profile.,legitimate
Your Netflix payment failed. Update your payment method at http://netflix-billing-update.co to avoid losing access.,phishing
"Hi team, please find attached the minutes from yesterday's meeting. Let me know if I missed anything.",legitimate
Thank you for your purchase. Your receipt is attached for your records.,legitimate
"Claim your inheritance of $2,000,000 by providing your bank details at http://apple-id-locked-support.com.",phishing
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
URGENT: Your bank account will be locked in 24 hours. Login now at http://account-update-bank.net/verify to avoid suspension.,phishing
Thanks for attending the webinar today. The recording is available at https://company.zoom.us/recording/share on our official site.,legitimate
Welcome to the team! Here's some information to help you get started in your first week.,legitimate
"Claim your inheritance of $2,000,000 by providing your bank details at http://netflix-billing-update.co.",phishing
We need you to confirm your billing details at http://netflix-billing-update.co or your subscription will be cancelled.,phishing
"Dear customer, your account has been suspended. Click here http://192.168.45.22/login.php to verify your identity immediately.",phishing
Please review the attached invoice for last month's services and let me know if you have questions.,legitimate
"Hi, this is IT support. We need your password to fix an urgent security issue. Reply or visit http://secure-paypal-verification.com/login.",phishing
Action required: Your email storage is full. Click http://account-update-bank.net/verify to upgrade your account for free.,phishing
Your Microsoft 365 account requires re-verification. Click http://bit.ly/3xJkLm9 immediately to avoid data loss.,phishing
Your order #21835 has shipped and is expected to arrive in 3-5 business days. Track it at https://mail.google.com/inbox.,legitimate
Your tax refund of $850 is ready. Submit your bank details at http://apple-id-locked-support.com to receive payment.,phishing
Your monthly statement is now available in your account dashboard.,legitimate
Please review the attached invoice for last month's services and let me know if you have questions.,legitimate
"Dear employee, please review and sign this urgent document at http://bit.ly/3xJkLm9 before end of day.",phishing
"Your social security number has been suspended due to suspicious activity, call us or visit http://account-update-bank.net/verify.",phishing
Your password will expire today. Update your credentials immediately at http://win-prize-claim-now.info to keep your account active.,phishing
Your Microsoft 365 account requires re-verification. Click http://192.168.45.22/login.php immediately to avoid data loss.,phishing
URGENT: Your bank account will be locked in 24 hours. Login now at http://apple-id-locked-support.com to avoid suspension.,phishing
"Hi, just checking in to see how the project is going. Let me know if you need any help.",legitimate
You have a new voicemail message. Click http://bit.ly/3xJkLm9 to listen now using your email login.,phishing
You have a new voicemail message. Click http://tinyurl.com/freegift123 to listen now using your email login.,phishing
We appreciate your feedback and will use it to improve our service going forward.,legitimate
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
"Dear user, your Apple ID has been locked due to suspicious activity. Unlock it at http://192.168.45.22/login.php.",phishing
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
Your password will expire today. Update your credentials immediately at http://netflix-billing-update.co to keep your account active.,phishing
URGENT: Your bank account will be locked in 24 hours. Login now at http://secure-paypal-verification.com/login to avoid suspension.,phishing
Reminder: The quarterly report is due this Friday. Please submit your section by end of day Thursday.,legitimate
"Dear customer, your account has been suspended. Click here http://account-update-bank.net/verify to verify your identity immediately.",phishing
Reminder: The quarterly report is due this Friday. Please submit your section by end of day Thursday.,legitimate
Thanks for attending the webinar today. The recording is available at https://mail.google.com/inbox on our official site.,legitimate
"Limited time offer just for you! Get 90% off at http://apple-id-locked-support.com, verify your card now to claim discount.",phishing
Thank you for your purchase. Your receipt is attached for your records.,legitimate
"Claim your inheritance of $2,000,000 by providing your bank details at http://irs-tax-refund-claim.com.",phishing
Security Alert: Someone tried to log into your account. Confirm your identity here http://account-update-bank.net/verify now.,phishing
"Dear user, your Apple ID has been locked due to suspicious activity. Unlock it at http://tinyurl.com/freegift123.",phishing
We need you to confirm your billing details at http://microsoft365-reverify.support or your subscription will be cancelled.,phishing
Action required: Your email storage is full. Click http://secure-paypal-verification.com/login to upgrade your account for free.,phishing
"Hi, I've updated the shared document with the latest figures, take a look when you get a chance.",legitimate
"Claim your inheritance of $2,000,000 by providing your bank details at http://win-prize-claim-now.info.",phishing
"Hi, this is IT support. We need your password to fix an urgent security issue. Reply or visit http://192.168.45.22/login.php.",phishing
"Hi, this is IT support. We need your password to fix an urgent security issue. Reply or visit http://apple-id-locked-support.com.",phishing
Thank you for your purchase. Your receipt is attached for your records.,legitimate
Here are the slides from today's presentation as promised. Feel free to share with your team.,legitimate
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
Your monthly statement is now available in your account dashboard.,legitimate
Your tax refund of $850 is ready. Submit your bank details at http://secure-paypal-verification.com/login to receive payment.,phishing
Looking forward to catching up this weekend! Let me know what time works for you.,legitimate
"Dear employee, please review and sign this urgent document at http://apple-id-locked-support.com before end of day.",phishing
Congratulations! You have won a $1000 gift card. Claim your prize now at http://microsoft365-reverify.support before it expires.,phishing
"Dear employee, please review and sign this urgent document at http://account-update-bank.net/verify before end of day.",phishing
Your Netflix payment failed. Update your payment method at http://tinyurl.com/freegift123 to avoid losing access.,phishing
Thanks for attending the webinar today. The recording is available at https://www.company-portal.com/dashboard on our official site.,legitimate
Your monthly statement is now available in your account dashboard.,legitimate
Action required: Your email storage is full. Click http://secure-paypal-verification.com/login to upgrade your account for free.,phishing
"Dear user, your Apple ID has been locked due to suspicious activity. Unlock it at http://tinyurl.com/freegift123.",phishing
We appreciate your feedback and will use it to improve our service going forward.,legitimate
We detected unusual activity on your PayPal account. Verify your information at http://bit.ly/3xJkLm9 to restore access.,phishing
Congratulations! You have won a $1000 gift card. Claim your prize now at http://microsoft365-reverify.support before it expires.,phishing
Our office will be closed on Monday for the public holiday. Normal operations resume Tuesday.,legitimate
Action required: Your email storage is full. Click http://irs-tax-refund-claim.com to upgrade your account for free.,phishing
Congratulations! You have won a $1000 gift card. Claim your prize now at http://192.168.45.22/login.php before it expires.,phishing
"Claim your inheritance of $2,000,000 by providing your bank details at http://192.168.45.22/login.php.",phishing
"Limited time offer just for you! Get 90% off at http://irs-tax-refund-claim.com, verify your card now to claim discount.",phishing
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
Looking forward to catching up this weekend! Let me know what time works for you.,legitimate
Your subscription has been renewed successfully. No action is needed from your end.,legitimate
